Company,Name,Other name,Potential Indication,Phase,NCT Number,Status,URL
Roche Group,RG7159,obinutuzumab,"hematological indications, multiple combination regimens",Phase 1,-,-,-
Roche Group,RG7421,cobimetinib,"metastatic melanoma (BRAF non-mutated), second-line treatment",Phase 1,-,-,-
Roche Group,RG7421,cobimetinib,"Metastatic colorectal cancer, 2nd and 3rd line treatment, combination regimen with Tecentriq + Avastin",Phase 1,-,-,-
Roche Group,RG7421,cobimetinib,"Renal Cell Carcinoma (RCC), Urothelial Bladder Cancer (UC), Head and Neck Cancer",Phase 1,-,-,-
Roche Group,RG7440,Ipatasertib,Triple Negative Breast cancer,Phase 1,-,-,-
Roche Group,RG7446,atezolizumab,"advanced gynecologic cancers, ovarian cancer",Phase 1,NCT02914470,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02914470
Roche Group,RG7446,atezolizumab,non-muscle-invasive bladder cancer,Phase 1,NCT02844816,Recruiting,https://ClinicalTrials.gov/show/NCT02844816
Roche Group,RG7446,atezolizumab,non-muscle-invasive bladder cancer,Phase 1,NCT02792192,Recruiting,https://ClinicalTrials.gov/show/NCT02792192
Roche Group,RG7446,atezolizumab,"metastatic melanoma, combination regimen with Zelboraf, with or without Cotellic",Phase 1,-,-,-
Roche Group,RG7446,atezolizumab,HER2-positive breast cancer,Phase 1,NCT03125928,Recruiting,https://ClinicalTrials.gov/show/NCT03125928
Roche Group,RG7446,atezolizumab,HER2-positive breast cancer,Phase 1,NCT03417544,Recruiting,https://ClinicalTrials.gov/show/NCT03417544
Roche Group,RG7446,atezolizumab,HER2-positive breast cancer,Phase 1,NCT02924883,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02924883
Roche Group,RG7446,atezolizumab,HER2-positive breast cancer,Phase 1,NCT03650348,Recruiting,https://ClinicalTrials.gov/show/NCT03650348
Roche Group,RG7446,atezolizumab,HER2-positive breast cancer,Phase 1,NCT02605915,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02605915
Roche Group,RG7446,atezolizumab,metastatic castration-resistant prostate cancer,Phase 1,NCT03170960,Recruiting,https://ClinicalTrials.gov/show/NCT03170960
Roche Group,RG7446,atezolizumab,metastatic castration-resistant prostate cancer,Phase 1,NCT02655822,Recruiting,https://ClinicalTrials.gov/show/NCT02655822
Roche Group,RG7446,atezolizumab,metastatic castration-resistant prostate cancer,Phase 1,NCT03024216,Recruiting,https://ClinicalTrials.gov/show/NCT03024216
Roche Group,RG7446,atezolizumab,metastatic castration-resistant prostate cancer,Phase 1,NCT02814669,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02814669
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03264066,Recruiting,https://ClinicalTrials.gov/show/NCT03264066
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02541604,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02541604
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03386721,Recruiting,https://ClinicalTrials.gov/show/NCT03386721
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02458638,Recruiting,https://ClinicalTrials.gov/show/NCT02458638
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03074513,Recruiting,https://ClinicalTrials.gov/show/NCT03074513
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03170960,Recruiting,https://ClinicalTrials.gov/show/NCT03170960
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02091141,Recruiting,https://ClinicalTrials.gov/show/NCT02091141
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02811497,Recruiting,https://ClinicalTrials.gov/show/NCT02811497
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02403271,Completed,https://ClinicalTrials.gov/show/NCT02403271
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02350673,Recruiting,https://ClinicalTrials.gov/show/NCT02350673
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02304393,Recruiting,https://ClinicalTrials.gov/show/NCT02304393
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02650713,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02650713
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02471846,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02471846
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT01988896,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01988896
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02715531,Recruiting,https://ClinicalTrials.gov/show/NCT02715531
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03650348,Recruiting,https://ClinicalTrials.gov/show/NCT03650348
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02323191,Recruiting,https://ClinicalTrials.gov/show/NCT02323191
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02862275,Recruiting,https://ClinicalTrials.gov/show/NCT02862275
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02410512,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02410512
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT01375842,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01375842
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02825940,Recruiting,https://ClinicalTrials.gov/show/NCT02825940
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03138889,Recruiting,https://ClinicalTrials.gov/show/NCT03138889
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT01688206,Completed,https://ClinicalTrials.gov/show/NCT01688206
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03311334,Recruiting,https://ClinicalTrials.gov/show/NCT03311334
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT01633970,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01633970
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT03673787,Recruiting,https://ClinicalTrials.gov/show/NCT03673787
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02174172,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02174172
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT00729664,Completed,https://ClinicalTrials.gov/show/NCT00729664
Roche Group,RG7446,atezolizumab,solid tumors,Phase 1,NCT02890368,Recruiting,https://ClinicalTrials.gov/show/NCT02890368
Roche Group,RG7446,atezolizumab,"non-small cell lung cancer, EGFR mutation-positive or ALK-positive, combination with Tarceva or Alecensa",Phase 1,-,-,-
Roche Group,RG7446,atezolizumab,"multiple myeloma, single-agent regimen or in combination with lenalidomide",Phase 1,-,-,-
Roche Group,RG7446,atezolizumab,"lymphoma, combination regimen with Gazyva or tazemetostat",Phase 1,-,-,-
Roche Group,RG7446,atezolizumab,"Pancreatic, gastric, non-small cell lung (NSCLC) and Her2+Breast Cancer (MORPHEUS platform)",Phase 1,-,-,-
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT02966756,Recruiting,https://ClinicalTrials.gov/show/NCT02966756
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT03226301,Recruiting,https://ClinicalTrials.gov/show/NCT03226301
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT03534323,Recruiting,https://ClinicalTrials.gov/show/NCT03534323
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT03045328,Recruiting,https://ClinicalTrials.gov/show/NCT03045328
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT03379051,Recruiting,https://ClinicalTrials.gov/show/NCT03379051
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT02427451,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02427451
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT03467867,Recruiting,https://ClinicalTrials.gov/show/NCT03467867
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT02639910,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02639910
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT01889186,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01889186
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT02141282,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02141282
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT01328626,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01328626
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT02640833,Withdrawn,https://ClinicalTrials.gov/show/NCT02640833
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT03639324,Not yet recruiting,https://ClinicalTrials.gov/show/NCT03639324
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT01685892,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01685892
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT01671904,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01671904
Roche Group,RG7601,venetoclax,relapsed or refractory chronic lymphocytic leukemia,Phase 2,NCT02296918,Recruiting,https://ClinicalTrials.gov/show/NCT02296918
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT02899052,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02899052
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT03567616,Not yet recruiting,https://ClinicalTrials.gov/show/NCT03567616
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT03314181,Recruiting,https://ClinicalTrials.gov/show/NCT03314181
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT01794520,Recruiting,https://ClinicalTrials.gov/show/NCT01794520
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT03312530,Recruiting,https://ClinicalTrials.gov/show/NCT03312530
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT01794507,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT01794507
Roche Group,RG7601,venetoclax,Relapsed or refractory Multiple Myeloma,Phase 2,NCT02951117,Withdrawn,https://ClinicalTrials.gov/show/NCT02951117
Roche Group,RG7601,venetoclax,"chronic lymphocytic leukemia, combination regimen with Gazyva",Phase 1,-,-,-
Roche Group,RG7601,venetoclax,"relapsed/refractory myelodysplastic syndromes, combination regimen with azacitidine",Phase 1,-,-,-
Roche Group,RG7601,venetoclax,"relapsed or refractory AML not eligible for cytotoxic therapy, combination regimen with Cotellic or idasanutlin",Phase 1,-,-,-
Roche Group,RG6268,Entrectinib,Non-Small Cell Lung Cancer (NSCLC) testing positive for activating ROS1 rearrangements.,Phase 2,-,-,-
Roche Group,RG6268,Entrectinib,Solid Tumors positive for NTRK1 activating rearrangements,Phase 2,-,-,-
Roche Group,RG7421,cobimetinib,1st line metastatic triple-negative breast cancer,Phase 2,-,-,-
Roche Group,RG7596,polatuzumab vedotin,relapsed / refractory B-cell Lymphoma,Phase 2,-,-,-
Roche Group,RG7601,venetoclax,"myelodysplastic syndromes, first-line treatment, combination regimen with azacitidine",Phase 2,-,-,-
Roche Group,RG7601,venetoclax,front-line diffuse large B cell lymphoma,Phase 2,-,-,-
Roche Group,RG7601,venetoclax,"relapsed/refractory follicular lymphoma, combination regimen with MabThera/Rituxan",Phase 2,-,-,-
Roche Group,RG3502,trastuzumab emtansine,3rd line HER2-positive metastatic breast cancer,Phase 3,-,-,-
Roche Group,RG3502,trastuzumab emtansine,"early HER2-positive breast cancer, adjuvant treatment, combination regimen with Perjeta",Phase 3,-,-,-
Roche Group,RG3502,trastuzumab-DM1,"HER2-positive breast cancer, adjuvant treatment",Phase 3,-,-,-
Roche Group,RG6264,Pertuzumab FDC SC,early Breast Cancer in combination with Herceptin,Phase 3,-,-,-
Roche Group,RG7421,cobimetinib,"BRAF-wild type or unresectable metastatic locally advanced melanoma first-line treatment, combination regimen with Tecentriq",Phase 3,-,-,-
Roche Group,RG7421,cobimetinib,"BRAFv600 mutation-positive advanced melanoma, first-line treatment, combination regimen with Tecentriq + Zelboraf",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"extensive-stage small-cell lung cancer, first-line treatment",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"first-line non-squamous non-small cell lung cancer, combination regimen with chemotherapy and pemetrexed",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"first-line non-squamous non-small cell lung cancer, combination regimen with chemotherapy",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"first-line non-squamous and squamous non-small cell lung cancer, PDL1-selected patients",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"first-line squamous non-small cell lung cancer, combination regimen with chemotherapy",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"renal cell cancer, combination regimen with Avastin",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,Hepatocellular carcinoma (HCC),Phase 3,NCT03434379,Recruiting,https://ClinicalTrials.gov/show/NCT03434379
Roche Group,RG7446,atezolizumab,Adjuvant squamous cell carcinoma of the head and neck (SCCHN),Phase 3,NCT03452137,Recruiting,https://ClinicalTrials.gov/show/NCT03452137
Roche Group,RG7446,atezolizumab,"renal cell carcinoma, adjuvant treatment",Phase 3,NCT03024996,Recruiting,https://ClinicalTrials.gov/show/NCT03024996
Roche Group,RG7446,atezolizumab,"non-small cell lung cancer, adjuvant treatment",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,first-line non-squamous non-small cell lung cancer diagnostic positive via a blood based Tumour mutational burden(TMB) assay,Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,first-line metastatic urothelial carcinoma,Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"ovarian cancer, front-line treatment",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,castration-resistant prostate cancer,Phase 3,NCT03016312,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT03016312
Roche Group,RG7446,atezolizumab,"muscle-invasive bladder cancer, adjuvant treatment",Phase 3,-,-,-
Roche Group,RG7446,atezolizumab,"triple-negative breast cancer, neoadjuvant treatment",Phase 3,NCT03281954,Recruiting,https://ClinicalTrials.gov/show/NCT03281954
Roche Group,RG7446,atezolizumab,"triple-negative breast cancer, neoadjuvant treatment",Phase 3,NCT03197935,Recruiting,https://ClinicalTrials.gov/show/NCT03197935
Roche Group,RG7446,atezolizumab,"triple-negative breast cancer, neoadjuvant treatment",Phase 3,NCT02620280,Recruiting,https://ClinicalTrials.gov/show/NCT02620280
Roche Group,RG7446,atezolizumab,"metastatic triple-negative breast cancer, first-line treatment",Phase 3,-,-,-
Roche Group,RG7446-35,atezolizumab,"metastatic triple-negative breast cancer, first-line treatment with capecitabine or carboplatin / gemcitabine",Phase 3,-,-,-
Roche Group,RG7596,polatuzumab vedotin,First line Diffuse Large B-cell Lymphoma,Phase 3,-,-,-
Roche Group,RG7601,venetoclax,relapsed or refractory multiple myeloma,Phase 3,NCT03539744,Not yet recruiting,https://ClinicalTrials.gov/show/NCT03539744
Roche Group,RG7601,venetoclax,relapsed or refractory multiple myeloma,Phase 3,NCT02755597,"Active, not recruiting",https://ClinicalTrials.gov/show/NCT02755597
Roche Group,RG7601,venetoclax,"First-line chronic lymphocytic leukemia, combination regimen with Gazyva",Phase 3,-,-,-
Roche Group,RG7601,venetoclax,"acute myeloid leukemia, first-line treatment",Phase 3,-,-,-
Roche Group,RG7601,venetoclax,"acute myeloid leukemia, first-line treatment in combination with LDAC",Phase 3,-,-,-
Roche Group,RG7853,alectinib,"ALK-positive non-small cell lung cancer, first-line treatment",Phase 3,-,-,-
Roche Group,RG7159,obinutuzumab,lupus nephritis,Phase 2,-,-,-
Roche Group,RG1569,tocilizumab,systemic sclerosis,Phase 3,-,-,-
Roche Group,RG3648,omalizumab,Chronic Rhinosinusitis With Nasal Polyps,Phase 3,-,-,-
Roche Group,RG7413,etrolizumab,ulcerative colitis,Phase 3,-,-,-
Roche Group,RG7413,etrolizumab,Crohn's disease,Phase 3,-,-,-
Roche Group,RG3645,ranibizumab,AMD port delivery device (ranibizumab port delivery system),Phase 2,-,-,-
Roche Group,RG6152-1,baloxavir marboxil,influenza high risk,Phase 3,-,-,-
Roche Group,RG1450,gantenerumab,Alzheimer's disease,Phase 3,-,-,-
Roche Group,RG6168,satralizumab,neuromyelitis optica,Phase 3,-,-,-
Roche Group,RG6206,-,Duchenne muscular dystrophy,Phase 3,-,-,-
Roche Group,RG7412,crenezumab,Alzheimer's disease,Phase 3,-,-,-
